Article Text,Category
"Բազմաթիվ արձնագրված խախտումներ կան, մասնավորապես, բավական մեծ թվով մարդկանց գրանցումներ անհայտ տարածքների վրա, օրինակ, հայտնաբերվել է, որ 85 հոգի գրանցված է ոստիկանական ակադեմիայի տարածքում: Այս մասին, այսօր՝ սեպտեմբերի 17-ին, մամուլի ասուլիսի ժամանակ նշեց «Հայաքվե» նախաձեռնության ներկայացուցիչ, ԱԺ նախկին պատգամավոր Աննա Կոստանյանը:",Քաղաքական
"«Մոտավորապես նույն քանակի՝ 86 մարդ է գրացված  Ֆուտբոլի ֆեդերացիայի տարածքում: ընդ որում, դրանք ոչ բնակելի տարածքներ են: Եվս 48 անձ գրանցված է րան հարակից, էլի ՀՖՖ-ին պատկանող տարածքում: 159 ընտրող գրանցված է Մալյան նրբանցք 4/34 հասցեում: Սա համապատասխանում է Նորքի գերեզմանատանը: Օդանավակայնի հարակից տարածքում 174 քաղաքացիներ են գրացված, որը բնակության համար պիտանի չէ»,-ասաց նա:",Քաղաքական
"Աննա Կոստանյանի խոսքով, ընտրատեղամասերից մեկում գրանցման սարքի հետ խնդիր է եղել անձնագրերի ճանաչելիության մասով: «Այսինքն սարքը անձնագիրը չի ճանաչել: մեկ այլ դեպքում 6/11 տեղամասում ընտրողը մոտեցել է այլ ընտրողի, որ «օգնի» քվեարկելու, լավ է, որ ֆքիսվել է փաստը, հորդորել են նախագահին հեռացնելու այդ մարդուն քվեախցիկի մոտից:",Քաղաքական
"Կենտրոնի տեղամասերից մեկում քաղաքացիներից մեկը ահազանգել է «Հայաքվեի» թեժ գծին, որ հարակից տարածքում ակտիվ մի խումբ կա, որոնք իրենք իրար մեջ խոսում են մարդկանց ավտոբուսներով բերելու եւ քվեարկելու մասին:",Քաղաքական
"10/12 տեղամասում հանձնաժողովի նախագահը վերցրել է խախտումների արձանագրման համար նախատեսված մատյանը եւ չի թողել, որ դիտորդը համապատասխան արձանագրությունն այնտեղ իրականացնի»,-ասաց «Հայաքվե» նախաձեռնության  ներկայացուցիչը:",Քաղաքական
Սեպտեմբերի 18-24-ը ՀՀ ԱԳ նախարար Արարատ Միրզոյանը Նյու Յորքում կմասնակցի ՄԱԿ-ի Գլխավոր ասամբլեայի 78-րդ նստաշրջանին և բարձր մակարդակի միջոցառումներին։,Քաղաքական
Այս մասին հայտնում են ՀՀ ԱԳՆ-ից։,Քաղաքական
"ՄԱԿ-ի Արդարադատության միջազգային դատարանը ԼՂ հարցով երկու միջանկյալ որոշում ունի։ Միջազգային հանրությունն ընդունում է, որ Լաչինի միջանցքը միակողմանի փակ է,- այդ մասին ТАСС-ին տված հարցազրույցում ասել է հատուկ հանձնարարություններով ՀՀ դեսպան Էդմոն Մարուքյանը․",Քաղաքական
"«Լաչինը կողմերի միջև միջանցքի կարգավիճակ ունի՝ համաձայն նոյեմբերի 9-ի փաստաթղթի։ Այդ փաստաթուղթը ոչ ոք չի չեղարկել, այն շարունակում է գործել, սակայն Ադրբեջանը շարունակում է փակ պահել այն՝ նպատակ ունենալով սովամահ անել և Լեռնային Ղարաբաղի ժողովրդին էթնիկ զտումների ենթարկել»,- նշել է նա։ ",Քաղաքական
"Մարուքյանը անդրադարձել է  նաև Ադրբեջանի այն մեղադրանքներին, թե Հայաստանը զինված ուժեր ունի Արցախում․",Քաղաքական
"«Բաքվում գիտեն, որ Լեռնային Ղարաբաղն ունի պաշտպանության բանակ, ինչը նրանց անվտանգության նվազագույն երաշխիքն է։ Թող քննարկեն այդ հարցը Ստեփանակերտ - Բաքու երկխոսության շրջանակներում: Հայաստանի Հանրապետությունը Լեռնային Ղարաբաղում զինված ուժեր չունի։",Քաղաքական
"Հայաստանի վարչապետ Նիկոլ Փաշինյանը վստհա չէ, որ Բաքվում, բացի հրապարակային հայտարարություններից, նաև իրական քաղաքական կամք կա՝ Ստեփանակերտի հետ երկխոսություն իրականացնելու:",Քաղաքական
Փաշինյանն այս մասին ասաց լրագրողների հետ զրույցում:,Քաղաքական
"Անդրադառնալով Ստեփանակերտի և Բաքվի միջև հնարավոր երկխոսության համար միջազգային մեխանիզմի գործարկման վերաբերյալ հարցին՝ Փաշինյանն ասաց, որ միջազգային գործընկերները շատ ինտենսիվ աշխատում են այդ թեմաների ուղղությամբ:",Քաղաքական
"«Նաև դա է պատճառը, որ ես էլի շարունակում եմ հորդորել Ստեփանակերտի մեր գործընկերներին, նաև հույս ունենալ, որ նրանք կներգրավվեն այդ երկխոսության մեջ: Իհարկե, հորդորն ուղղված է նաև Բաքվին, որովհետև, եթե կողմերից մեկը չցանկանա, այդ երկխոսությունը տեղի չի ունենա: Եվ ցավոք, այնպես չէ, որ մենք տեսնում ենք, որ Բաքվի կողմից այդ ցանկությունը լիարժեք արտահայտվում է»,-ասաց վաչապետը:",Քաղաքական
"Նա հավելեց՝ Բաքվի կողմից այդ ցանկությունը պաշտոնական մակարդակում արտահայտվում է: Սակայն, վարչապետի խոսքով, մի քանի անգամ նախանշված հանդիպումները տեղի չեն ունեցել, և ինքը փորձել է հասկանալ այդ թվում Ստեփանակերտին ուղղված մեղադրանքները, թե իբր Ստեփանակերտն է տապալել հանդիպումը: «Ես վստահ չեմ, որ Բաքվում, բացի հրապարակային հայտարարություններից, նաև իրական քաղաքական կամք կա այդ երկխոսությունն իրականացնելու»,-ասաց Փաշինյանը:",Քաղաքական
ԿԸՀ-ն հրապարակել է Երևանի ավագանու ընտրություններին մասնակցությունը 11:00-ի դրությամբ։,Քաղաքական
"Ըստ այդմ, քվեարկության է մասնակցել 47.671 քաղաքացի՝ ընտրողների ընդհանուր թվի 5.78 %-ը։",Քաղաքական
"Հիշեցնենք, որ այսօր՝ սեպտեմբերի 17-ին՝ առավոտյան ժամը 08:00-ի դրությամբ, բացվել են Երևանի ողջ տարածքում ձևավորված 10 ընտրատարածքների 475 տեղամասերը:",Քաղաքական
"Քվեարկությունը կավարտվի ժամը 20:00-ին, որից հետո կսկսվի ձայների հաշվարկը:",Քաղաքական
Վարչապետ Փաշինյանը լրագրողների հետ զրույցում անդրադարձել է Էրդողանի՝ քառակողմ հանդիպում անցկացնելու առաջարկին։,Քաղաքական
"Հիշեցնենք, Թուրքիայի նախագահը ավելի վաղ առաջարկ էր արել Արցախի հարցով քառակողմ հանդիպում կազմակերպել՝ Թուրքիայի, Ռուսաստանի, Հայաստանի և Ադրբեջանի ղեկավարների մասնակցությամբ։",Քաղաքական
"«Քննարկվում են հանդիպումների տարբեր առաջարկներ: Ամենատարբեր առաջարկներ և գաղափարներ կան, ես չեմ ուզում առանձնացնել այդ գաղափարներից մեկը։ Խնդիրն այն է, որ սա միակ գաղափարը չէ, որպեսզի ես վերաբերմունք արտահայտեմ։ Մենք պետք է ամբողջության մեջ նայենք»,- նշել է նա։ ",Քաղաքական
ՀՀ երրորդ նախագահ Սերժ Սարգսյանի Երևանի ավագանու ընտրությունների քվեարկությանը չի մասնակցելու։ Այս մասին NEWS.am–ին փոխանցեցին երրորդ նախագահի գրասենյակից։,Քաղաքական
"«Նախագահը բնակվում է Ձորաղբյուրում, Երևանի բնակիչ չէ, հետևաբար չի մասնակցում Երևանի ավագանու ընտրություններին»,–ասաց Սարգսյանի գրասենյակի պատասխանատու Մերի Հարությունյանը։",Քաղաքական
"Բազմաթիվ են դեպքերը, երբ Բաքուն պայմանավորվածություններ է ձեռք բերել հաղորդակցման ուղիների բացման վերաբերյալ, իսկ հետո սաբոտաժի է ենթարկել դրանք։ Այս մասին ՏԱՍՍ-ին տված հարցազրույցում ասել է Հայաստանի հատուկ հանձնարարություններով  դեսպան Էդմոն Մարուքյանը՝ մեկնաբանելով այն հարցը, թե «Երևանը տորպեդահարում է հաղորդակցման ուղիների, ինչպես նաև «Զանգեզուրի միջանցքի» բացման հարցը։",Քաղաքական
"«Այն «Զանգեզուրի միջանցքը», որի մասին խոսում է Հաջիևը (Ադրբեջանի նախագահի օգնական - խմբ.) գոյություն չունի, նույնիսկ Իլհամ Ալիևը (Ադրբեջանի նախագահ - խմբ.) ընդունում է, որ նոյեմբերի 9-ի տեքստում նման պայմանավորվածություն չի եղել. նրանք ներմուծել են այս արհեստական ​​պատմույթը: «Ինչ վերաբերում է տարածաշրջանային հաղորդակցությունների բացմանը, ապա Հայաստանը, 30 տարի գտնվելով  ապօրինի շրջափակման մեջ, շահագրգռված է դրանք բացել կողմերի իրավասության ներքո՝ ինքնիշխանության շրջանակներում, իրավահավասարության և փոխադարձության սկզբունքների հիման վրա»,- ընդգծել է նա։",Քաղաքական
"Վարչապետ Փաշինյանը լրագրողների հետ զրույցում անդրադարձել է հարցին, թե արդյոք կստորագրվի փաստաթուղթ հոկտեմբերի 5-ին՝ Գրանադայում սպասվող Փաշինյան-Ալիև հանդիպմանը․",Քաղաքական
"«Ցավոք սրտի՝ ոչ, եթե ստորագրվեր, կհամարեինք, որ այն համապատասխանում է ՀՀ հավասարակշռված շահին, և մենք պատրաստ ենք ստորագրել։ Ասել ենք՝ մենք շարժվում ենք «Խաղաղության օրակարգով», հնարավորինս արագ ստորագրել Ադրբեջանի հետ խաղաղության պայմանագիր»,- ասել է Փաշինյանը։",Քաղաքական
"Հույս ունենք՝ մեր ինտեսիվ բանակցությունները կշարունակվեն, կհասնենք մեր խնդիրների լուծմանը։ Մենք ահագին ժամանակ ենք կորցրել Լաչինի միջանցքի շրջափակման և Արցախում ստեղծված հումանիտար ճգնաժամի պատճառով․ նման իրավիճակի չլինելու դեպքում կարող էինք էներգիան ուղղորդել պայմանագրի քննարկմանը մեծ ժամանակ տալուն,- նշել է նա։ ",Քաղաքական
"Հատուկ հանձնարարություններով ՀՀ դեսպան Էդմոն Մարուքյանը  ТАСС-ին տված հարցազրույցում անդրադարձել է վերջին շրջանում նկատվող հայ-ռուսական հարաբերությունների լարվածությանը, հայ-ամերիկյան անցկացվող զորավարժություններին.",Քաղաքական
"- Ցանկացած բողոքի նոտայի ԱԳՆ-ն կպատասխանի համապատասխան ընթացակարգերով։ Ինչ վերաբերում է հայ-ամերիկյան զորավարժություններին, ապա դրանք անցկացվում են խաղաղապահ առաքելության շրջանակում։ Առաջին անգամ անցկացվել է 2011 թվականին, բայց նույնիսկ այն ժամանակ հարցեր չեն առաջացել։ Դրանք առաջին զորավարժությունները չեն, դրանք մշտական են և անցկացվում են խաղաղապահ առաքելությունների շրջանակում։ ",Քաղաքական
"Հիշեցնենք՝ ՌԴ-ում ՀՀ դեսպանին վերջերս բողոքի նոտա հանձնվեց՝ կապված Փաշինյանի տիկնոջ՝ Ուկրաինա, մասնավորապես Բուչա այցի հետ։",Քաղաքական
"Լրատվամիջոցներով տարածվող այն լուսանկարը, որում նշվում է, թե տեղամասերում կատարվում է ուղղորդում, պնդումը հիմնազուրկ է եւ պայմանավորված՝ օրենսդրության չիմացությամբ։ Այս մասին պարզաբանում է տարածել ԿԸՀ-ն:",Հասարակություն
"«Նշվածի վերաբերյալ Կենտրոնական ընտրական հանձնաժողովն իրազեկում է, որ Կենտրոնական ընտրական հանձնաժողովի 2017 թվականի հունվարի 11-ի թիվ 7-Ն որոշմամբ սահմանված է տեղամասային ընտրական հանձնաժողովում վիճակահանությունների անցկացման կարգը, որի 3-րդ կետով սահմանվում է, թե որ գործառույթներն են բաշխվում հանձնաժողովի անդամների միջեւ՝ նշելով, որ պատրաստվում են իրարից չտարբերվող թերթիկներ, որոնցից՝",Հասարակություն
"«1) մեկի վրա նշում է «ցուցակ-1», իսկ ընտրական տեղամասում 1200-ից ավել ընտրողի դեպքում՝ հաջորդ թերթիկի վրա` «ցուցակ-2» բառերը,",Հասարակություն
"2) մեկի վրա նշում է «քվեաթերթիկ-1», իսկ ընտրական տեղամասում 1200-ից ավել ընտրողի դեպքում՝ հաջորդ թերթիկի վրա` «քվեաթերթիկ-2» բառերը: Ստացիոնար բժշկական հաստատությունում եւ ձերբակալված անձանց պահելու վայրում շրջիկ արկղի միջոցով քվեարկություն կազմակերպելու դեպքում երկրորդ թերթիկի վրա նշվում է «քվեաթերթիկ եւ շրջիկ արկղ» բառերը,",Հասարակություն
"3) մեկի վրա նշում է «քվեատուփ» բառը,",Հասարակություն
"4) մեկի վրա նշում է «շրջիկ արկղ» բառերը` ստացիոնար բժշկական հաստատությունում եւ ձերբակալված անձանց պահելու վայրում շրջիկ արկղի միջոցով քվեարկություն կազմակերպելու դեպքում, եթե ընտրական տեղամասում ընտրողների թիվը չի գերազանցում 1200-ը:»։",Հասարակություն
"Տեղամասային ընտրական հանձնաժողովները հանձնաժողովի անդամների աշխատասեղաններին փակցրել են ցուցանակներ, որոնք նշում են պարունակում համապատասխան գործառույթի վերաբերյալ («ցուցակ-1», «ցուցակ-2», «քվեաթերթիկ-1», «քվեաթերթիկ-2», «քվեատուփ») եւ որեւէ ընտրողի չեն ուղղորդում։",Հասարակություն
"Հարկ է նշել նաեւ, որ վերը նշված կարգավորումը կիրառվում է արդեն շուրջ 20 տարի»,- նշվում է պարզաբանման մեջ:",Հասարակություն
«Ականատես» դիտորդական առաքելությունը ներկայացրել է ՏԻՄ ընտրությունների քվեարկության առաջին կեսին՝ 08:00-14:00 ժամանակահատվածում արձանագրված էական միջադեպերը․,Հասարակություն
"Քվեարկության ժամանակահատվածի առաջին կեսը՝ 08:00-14:00 ժամանակահատվածն ընդհանուր առմամբ անցել է խաղաղ, միևնույն ժամանակ ընտրողների զգալի պասիվության պայմաններում։",Հասարակություն
Ընտրատեղամաս դիտորդների մուտքը խոչընդոտելու վերաբերյալ արձանագրվել է մեկ դեպք:,Հասարակություն
- 8/35 տեղամասում որոշակիորեն խոչընդոտվել է «Ականատես»-ի երկու դիտորդների միաժամանակյա ներկայությունը՝ հանձնաժողովի քարտուղարի և նախագահի կողմից երկու դիտորդի ներկա գտնվելու իրավաչափության վերաբերյալ հստակ դիրքորոշում չունենալու հետևանքով։ ԸԸՀ-ի հետ մի քանի անգամ կապ հաստատելուց հետո (այդ թվում՝ «Ականատես»-ի կողմից) խնդիրը կարգավորվել է մոտ 20 րոպե անց։,Հասարակություն
Ընտրողների ընտրելու իրավունքը իրացնելու հետ կապված արձանագրվել է երեք դեպք երկու տեղամասում։,Հասարակություն
"- 6/06 ընտրողների ցուցակում ներառված երկու անձի տվյալները, ըստ սարքի ազդանշանի, առկա չեն եղել տեխնիկական սարքում։ Անձանցից մեկը այնուհետև կարողացել է մասնակցել քվեարկության՝ նույնականացման քարտը տեխնիկական սարքի ընթերցելուց հետո: Մյուսին չի թույլատրվել քվեարկել և առաջարկվել է ներկայացնել անձը հաստատող այլ փաստաթուղթ, չնայած, որ նա ունեցել է վավեր անձը հաստատող փաստաթուղթ։",Հասարակություն
"- 10/02 տեղամասում ընտրողների ցուցակում ներառված անձի տվյալները բացակայել են տեխնիկական սարքում, ինչի արդյունքում անձին չի թույլատրվել քվեարկել վավեր փաստաթղթի առկայության պայմաններում։ Անձին վերադաս ընտրական հանձնաժողովից ուղղորդել են լրացուցիչ տեղեկանք վերցնելու։ Երկու դեպքերն էլ արձանագրվել են գրանցամատյանում։",Հասարակություն
Հանձնաժողովի անդամների աշխատանքների և քվեաթերթիկների տրամադրման հետ կապված արձանագրվել է երեք խնդիր։,Հասարակություն
- 5/2 ընտրատեղամասում հանձնաժողովի անդամը ընտրողներին չի տրամադրել 12 համարի քաղաքական ուժի քվեաթերթիկները։ Հանձնաժողովի նախագահի նկատողությունից հետո իրավիճակը շտկվել է:,Հասարակություն
- Նույն 5/2 ընտրատեղամասում գրանցամատյանում գրանցումները հանձնաժողովի նախագահի և քարտուղարի կողմից իրականացվել են մատիտով։ Դիտորդի նկատառումից հետո խնդիրը կարգավորվել է։,Հասարակություն
- 7/60 ընտրատեղամասում հարաբերականորեն պակաս են եղել 4-րդ և 14-րդ համարի քվեաթերթիկները։ Դիտորդի կողմից բացահայտվելուց և բարձրաձայնվելուց հետո հանձնաժողովի նախագահը լրացրել է 4-րդ համարի քվեաթերթիկների տրցակը։,Հասարակություն
Արձանագրվել է տեղամասային կենտրոնների պատշաճ կահավորման և քվեատուփի փակմանն ու կնքմանն առնչվող պահանջների հետ կապված չորս խնդիր։,Հասարակություն
"- 1/01 ընտրատեղամասում սենյակը այնպես է կահավորված, որ լիարժեք չի կարող երաշխավորվել ընտրողների գաղտնիության իրավունքը՝ քվեախցիկների կողքին առկա է դուռ, որով ելումուտ են անում հանձնաժողովի անդամները։ Դիտորդների՝ վերակահավորելու վերաբերյալ առաջարկը մերժվել է։",Հասարակություն
"- 8/38 ընտրատեղամասում չեն պահպանվել քվեատուփը փակելու և կնքելու օրենքով և ԿԸՀ որոշմամբ սահմանված պահանջները, մասնավորապես, քվեատուփը կնքված չի եղել։",Հասարակություն
"- 10/12 տեղամասում քվեախցիկների կողքին առկա է դուռ, որը փակված չէ, կարող է օգտագործվել հանձնաժողովի անդամների կողմից։ Դուռը փակելու համար տնօրենի կողմից բանալի չի տրամադրվել հանձնաժողովի նախագահին։",Հասարակություն
"Ընտրատեղամասում և դրանց հարակից տարածքներում նկատվել է կողմնակի անձանց ներկայության 6 դեպք, որոնցից որոշ դեպքերում՝ ընտրողների մասնակցության ենթադրյալ վերահսկողության նպատակով։",Հասարակություն
"- 2/04 տեղամասային կենտրոնից 50 մետր շառավղով տարածքից դուրս, սակայն մեկուկես ժամ շարունակ, գտնվել է մեկ անձ մի քանի այլ անձանց հետ միասին, որոնք պարբերաբար փոփոխվել են։ Տվյալ անձը պարբերաբար դիմավորել է տեղամաս գնացող անձանց և խոսել նրանց հետ: Նա ընտրատեղամասում գրանցված է եղել որպես «Քաղաքացիական պայմանագիր» կուսակցության վստահված անձ։ Հեռանալու մասին մի շարք հորդորներին նա բացասական է արձագանքել՝ պատճառաբանելով, որ գտնվում է իր բակում։ Հանձնաժողովի նախագահի հետ զրույցի արդյունքում նա ի վերջո հեռացել է։",Հասարակություն
"- 2/30 տեղամասում նույն անձը տեղամաս է այցելել երկու անգամ, մեկ անգամ մի տղամարդու, երկրորդ անգամ՝ մի քանի կանանց հետ։ Դիտորդի լուսանկարելուց հետո տվյալ անձը լքել է տեղամասային կենտրոնը։",Հասարակություն
"- 6/18 և 6/19 ընտրատեղամասերի դիմաց ներկա են եղել երեք անձիք, ովքեր զանգեր են կատարել՝ ընտրությունների մասնակիցների թվերը ճշգրտելու նպատակով: Դիտորդի կողմից դեպքը արձանագրելուց և նկարահանելուց հետո նրանք հեռացել են տեղամասային կենտրոնի տարածքից։ Այնուհետև, նշված անձինք նկատվել են նաև այլ՝ թիվ 6/32 տեղամասային կենտրոնի մոտ, որտեղ կարճատև հանդիպում են ունեցել «Մայր Հայաստան» կուսակցությունների դաշինքի վստահված անձի հետ։",Հասարակություն
- 8/40 տեղամասային կենտրոնում և դրան հարակից տարածքում շուրջ 30 րոպե ներկա է գտնվել տվյալ շենքում տեղակայված թիվ 75 դպրոցի տնօրենը՝ առաջարկելով իր օգնությունը աշխատանքները կազմակերպելու հարցում։ Հանձնաժողովի նախագահի միջնորդությամբ դպրոցի տնօրենը հեռացել է տեղամասային կենտրոնից:,Հասարակություն
"- 9/22 ընտրատեղամասում արձանագրվել է կողմնակի անձի՝ «Ժողովրդավարական համախմբում» կուսակցության ավագանու անդամի թեկնածու Մարինե Մալխասյանի ներկայությունը։ Արձանագրվել են նաև հանձնաժողովի աշխատանքներին տվյալ անձի կողմից միջամտելու փորձեր։ Նա քվեարկության սենյակում գտնվել է շուրջ 40 րոպե։ Դիտորդների կողմից հանձնաժողովի նախագահին տեղեկացնելուց հետո, վերջինս փորձել է դուրս հրավիրել թեկնածուին, սակայն նա անմիջապես չի հեռացել և դրսևորել է ագրեսիվ վարք։ Ի վերջո, թեկնածուն հեռացվել է ոստիկանության միջամտությամբ։",Հասարակություն
"- 10/28 ընտրատեղամասում «Քաղաքացիական պայմանագիր» կուսակցության վստահված անձը կատարել է զանգեր, նշումներ հեռախոսում, պարբերաբար հաղորդակցվել է ընտրողների հետ։ Դիտորդի արձանագրումից հետո վստահված անձը պարզաբանել է, որ մարդիկ իրեն բարևում են կամ մոտենում են, քանի որ ճանաչում են իրեն։",Հասարակություն
"Հիշեցնենք, որ ընտրախախտումների ահազանգման համար գործում է https://iditord.org/elections հարթակը:",Հասարակություն
"Հայաստանի մարդու իրավունքների պաշտպանի աշխատակազմի թեժ գծին Երևանի ավագանու ընտրության օրը՝ սեպտեմբերի 17-ին, ժամը 16:00-ի դրությամբ ստացվել է ընտրական գործընթացին վերաբերող 56 հեռախոսազանգ: Խնդիրներից 16-ը Պաշտպանի աջակցությամբ ստացել է դրական լուծում։",Հասարակություն
Պաշտպանի հրամանով ստեղծված աշխատանքային խումբը նշված ժամանակահատվածում ուսումնասիրել է նաև լրատվամիջոցներում և սոցիալական ցանցերում զետեղված շուրջ 800 հրապարակում։,Հասարակություն
